"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SP8",176.2399349413,3.23540663407815,0.615775754002822,5.25419621192704,1.48672318602129e-07,4.44197001561431e-05
"RAPGEF3",414.094788908747,0.756396937884806,0.144287004245376,5.24230814715975,1.58580243908591e-07,4.65768990964743e-05
"SOX4",506.618619947625,0.7791166585733,0.150126079664537,5.18974891180978,2.10577839546338e-07,6.08183896916415e-05
"DLX6OS1",475.918415553895,1.06061695749811,0.207481931081856,5.11185215969327,3.19015451716926e-07,9.06265370951248e-05
"AMPD2",992.586331089437,0.573179183999979,0.115057332294398,4.98168324060721,6.30335560269903e-07,0.000176178789095438
"CACNG5",307.681681492372,2.18203022088811,0.442395612652682,4.93230529074254,8.12647711071913e-07,0.000223529717224844
"TH",148.749293758246,3.04860953934245,0.619933314941936,4.91764108471568,8.75933238710467e-07,0.000237172610837714
"S100A5",44.9108735135245,5.55057859972909,1.13219299365305,4.90250216248026,9.46235731254063e-07,0.000252266445952333
"NRIP3",2543.70324927064,0.699461051344599,0.144115657312882,4.85347022236478,1.21319565800679e-06,0.000318537387236359
"MDGA1",419.481723769561,1.04216117164523,0.216209837655203,4.82013761699037,1.43459225644819e-06,0.000365588958999862
"PTPN14",197.075797319668,0.951872240102389,0.198858349566665,4.78668480441797,1.69558807774435e-06,0.000425838344916402
"PPM1J",27.8228358410582,3.91673635519737,0.820968627345216,4.77087214387595,1.83429951181471e-06,0.0004540939462891
"IGFBPL1",36.0254007167964,2.01680605025013,0.424502208851492,4.75099070911004,2.02422434094411e-06,0.00049405329020029
"SHISAL1",966.004801261946,0.636281589461429,0.134435293129549,4.73299514323426,2.21230784597393e-06,0.000532459481428919
"ADAMTS19",48.2191102175396,6.86725614906522,1.45258820368234,4.72760010831466,2.27189061285538e-06,0.000539309485344805
"MRPL19",531.332398189353,0.487229785602107,0.103209031866024,4.72080569687526,2.34912263031244e-06,0.000550107379198435
"SLC6A3",10.3090816001008,6.10648254762977,1.29917518212865,4.70027647666771,2.59809497926466e-06,0.000600298505275697
"SP7",45.4433060385743,2.76247250380943,0.590520379301387,4.67803076851905,2.8964309216715e-06,0.000660424361074282
"GM13889",276.073015958374,0.712658072892335,0.152839971394353,4.66277287538582,3.11977006600334e-06,0.000693108916330409
"GDPD5",467.583444412178,0.622615599475061,0.135587278409601,4.59199127512669,4.39036727323744e-06,0.000939267586147304
"CACNA1D",1101.70387295558,0.485448643695092,0.106575235781006,4.55498540667185,5.23892152394931e-06,0.00106806201280609
"FAT1",896.004122044081,0.671049423336206,0.147202028753368,4.55869684011302,5.1472008127852e-06,0.00106806201280609
"SLC4A7",522.148225655145,0.490077782594537,0.107863730612598,4.54349001106493,5.53304284927759e-06,0.00111490813412943
