"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"GNPNAT1",82,161.2253571,192.2180009,292.64666,257.2384517,186.5853274,261.5581563,199.5784178,206.0412429,240.9360702
"TSHR",82,6.463222324,10.23444098,17.02609869,12.36243486,8.460861836,18.43011601,4.600160004,9.457945022,12.75291946
"ZFP729A",82,245.0118895,356.3432498,437.568847,432.4731408,296.2154527,466.6440328,297.6802605,352.3585061,382.8732623
"2610316D01RIK",82,108.2070743,103.5838775,142.4723628,114.6572598,113.2429637,131.2805781,138.9374883,119.4364726,131.1873181
"4921536K21RIK",82,9.932177117,4.22800331,13.47681636,10.38598015,5.787066968,8.298611222,1.892367738,3.741051598,5.311426419
"CRYBG3",82,212.6023284,150.2452488,243.2938139,196.6087792,187.6924473,220.1641919,101.9246709,128.8184449,154.6565189
"PRLR",82,14.21126761,11.60076305,28.01003022,16.28533291,5.805244476,19.72000406,5.638190042,10.09933544,6.644407549
"TTI2",82,305.7217962,318.7918288,368.1238511,337.2916977,298.2110239,340.1985584,283.5508389,296.1454735,301.5628938
"GM20498",82,190.2857919,178.5285754,255.7873436,237.6301791,150.0054345,241.3529992,142.2491604,189.7467225,184.9526023
"MAK",82,48.50411606,45.66534864,89.83620187,95.29919853,43.93542802,88.93889712,39.20635999,56.1802722,44.2722546
"PEX7",82,415.5782176,412.1608341,438.4723516,440.266396,400.9913456,435.520792,412.4335532,379.8989224,449.1729088
"COLCA2",82,131.3111146,140.6809492,123.4325547,159.0462932,128.2170254,155.6723596,127.7290424,127.9269673,137.2604505
"COG5",82,855.8351815,797.8069342,844.3452577,855.7287335,719.5065951,863.3236339,760.5199417,739.0292123,849.686082
"GM20008",82,14.31521457,22.1505709,21.88463803,22.88334541,27.19637347,7.158601519,26.55019787,21.41634031,34.70147855
"PARP2",82,238.0604302,250.2900298,313.2945669,265.1219243,223.6365323,257.0699789,221.0552129,219.7725152,271.8060347
"MIR670HG",82,60.31044724,59.87190127,82.552797,62.11287074,44.68965424,52.81251888,45.13917326,49.61950509,68.60950254
"MYC",82,38.74808105,30.99640387,46.46321252,40.60680852,33.21963038,37.0099848,32.17374203,26.70695553,43.56727601
"NEU4",82,142.5039499,135.2992148,152.6296442,149.6834092,118.6437002,135.1642592,122.2701899,106.8738353,145.3157214
"SERPINB6B",33,15.15930031,16.48187238,19.33900845,14.28476914,14.77436683,40.65718265,11.10834035,8.035172776,26.08139523
"ZFP738",33,747.7321069,847.6886386,756.7603694,712.5722007,868.4496092,1104.148514,593.6770364,745.9898955,996.0155875
"ZFP383",33,100.7040133,101.8371032,114.5388199,99.26909955,108.0888057,98.40596193,113.4544916,128.6966919,126.5130422
"FRS2",33,962.0677237,880.1928377,922.2092499,924.8684347,880.4620158,1030.425079,783.4910168,907.7504218,995.088188
"ALKBH1",33,247.8292267,239.4377038,248.6194469,254.3982077,227.9072778,301.7436846,190.1024294,228.7197992,282.8475799
"GPN3",33,214.3034322,197.0999828,180.9811745,189.2586303,197.9843743,229.3005572,159.5701063,180.8788818,233.9415224
"SLC26A2",33,230.8560104,172.0675478,184.9508962,157.9967481,156.2701757,240.8985436,112.4665204,152.9794852,242.1760272
"GASK1A",33,124.8145085,99.63650091,100.6610013,76.61674955,88.51817557,141.2821167,73.40046954,73.1659451,96.0650944
"MDC1",33,386.9063458,333.9915083,348.1194093,272.5371573,287.2331898,420.0610744,292.1739011,293.802165,335.890916
"NSD3",33,1862.986515,1796.50563,1746.624842,1651.369083,1773.569633,1947.316332,1761.226408,1748.015184,1848.51019
"GM14411",33,27.7918647,61.32566467,49.23119413,26.45816663,19.37123182,44.32452925,28.16000141,29.83769014,35.36155555
"CLEC10A",33,11.36228426,5.722992726,8.282868204,4.83517271,6.491380149,14.77068139,7.613070109,3.783771592,10.51036731
